Strategy,Frequency,Ticker_Pair,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Decile 10
Correlations Strat,Month,GLD_GDX,1.2860446100963254,0.8368238551274739,-0.5496230906694222,-0.4417493245845534,0.8791512639044302,0.3543474118844435,-0.15791152795138422,-0.2382939927799796,0.3306531301208497,0.18938450945952556
Correlations Strat,Month,GLD_SLV,-1.0801614082076634,,0.6115028452809479,0.4138208052424585,-0.6579532685319742,0.26175426143363906,0.013831566594075338,-0.22582885357668303,-0.17657376848530848,-0.1674825853026981
Correlations Strat,Month,GDX_SLV,,-0.24309504322838454,,-0.059101342792057636,-0.0501573249579135,0.41107689684094656,0.06305397920073659,-0.26039101391938146,-0.5669254683257877,-0.00541030964773341
Correlations Strat,Quarter,GLD_GDX,0.488016842455877,1.6969893022223672,,,,0.1839765164446303,,0.26849679489863454,0.5620430158037718,1.975991361888885
Correlations Strat,Quarter,GLD_SLV,,,,,-0.5888788843667355,,-0.32246889427926745,0.1426467609534763,0.6445153819808838,-0.13144690498174041
Correlations Strat,Quarter,GDX_SLV,,,,,0.17667663343539708,-0.3481391443310133,-0.39886044819934574,0.44326986038167354,-0.7104922753612896,-1.3452017055958083
Correlations Strat,Year,GLD_GDX,,,0.25277107716489333,,,,,,,
Correlations Strat,Year,GLD_SLV,,,,,-0.05386151237274523,,,,,
Correlations Strat,Year,GDX_SLV,,,,,,,,,,
Differentials Vol Strat,Month,GLD_GDX,0.15556452295966527,1.0873488490942937,-0.07307243125670808,-0.022090500865824137,0.31217519957575907,0.29134672827627045,-0.16334721263968183,,-0.030179567866957194,0.08589782425312342
Differentials Vol Strat,Month,GLD_SLV,0.3881858853964075,-0.15913265537264573,-0.17578646155128066,-0.513342451502529,,,,,,
Differentials Vol Strat,Month,GDX_SLV,0.10517257692971368,-0.1914056955703863,-0.020079149222114834,-0.30822050695560504,-0.6937452836774806,-1.2824725525265042,1.2466839267999787,0.3233542044022801,-3.58064100976498,
Differentials Vol Strat,Quarter,GLD_GDX,0.19299210708660336,-8.65051307778023,,0.6104460404196236,,,0.0679155143132108,0.04262898768542846,7.46009913708747,33.82409635619926
Differentials Vol Strat,Quarter,GLD_SLV,-1.064596397542601,0.2977345518782662,-0.01339391222841108,1.111683291000393,,,,,,
Differentials Vol Strat,Quarter,GDX_SLV,-0.09153192576486567,-0.21235342097867838,-0.7770020467588277,0.12513611325308027,,,,-0.8127839022015549,-1.1273701039785125,-0.17826450105398023
Differentials Vol Strat,Year,GLD_GDX,,,,,,,,,,
Differentials Vol Strat,Year,GLD_SLV,0.5564323455407362,-0.750650189403717,,,,,,,,
Differentials Vol Strat,Year,GDX_SLV,,,,,,,,,,
Differentials Skew Strat,Month,GLD_GDX,,,0.28278031288212463,-0.03394176127798991,0.43884972257306437,0.07479044824208807,0.15198530629940238,-0.3061167560947429,1.0284712915594665,
Differentials Skew Strat,Month,GLD_SLV,-0.2730275139514856,-0.5069054505393791,0.35767665861927816,-0.10319713223182467,0.1298590499580987,-0.25363186421135814,-0.005735575908037931,-0.323784916175734,-0.027210714511557106,-1.0664260064556925
Differentials Skew Strat,Month,GDX_SLV,2.336514679373701,,-0.6564355943096839,-0.08186574558163548,0.09624162207876072,-0.2651034931089209,-0.5944592302797177,0.04757344753975627,,
Differentials Skew Strat,Quarter,GLD_GDX,-0.7894702893671731,,14.637333176302596,,3.345360849664821,-0.00333962179919449,0.2515470285519777,0.5476948763313161,0.2568895059335461,6.67931955621643
Differentials Skew Strat,Quarter,GLD_SLV,0.7178821365214598,,0.2927577547421318,0.39254961972591135,-8.70071765295656,0.3033939926748907,-0.37475082139937077,-0.4928270061510555,1.758712176538098,
Differentials Skew Strat,Quarter,GDX_SLV,-0.7880716310128194,-0.5676795045339353,-0.19989738483830002,-0.7104922753612896,-0.533235273777796,-0.2378527740469205,,,,-0.522272639446171
Differentials Skew Strat,Year,GLD_GDX,,,,,,,,,2.2956314817571366,
Differentials Skew Strat,Year,GLD_SLV,,,,,0.37748046062862717,,,,,
Differentials Skew Strat,Year,GDX_SLV,-39.38072421851891,,,,,,,,,
Differentials Kurt Strat,Month,GLD_GDX,-0.38864382748432225,0.44518635400195106,0.09249212989640421,0.11682076200008486,-0.4117902137827342,1.2326212331394522,,,,
Differentials Kurt Strat,Month,GLD_SLV,0.8106214488753394,0.4832485293514471,0.25670063983842245,-0.08135295932071267,-0.23493292420136128,-0.24320902504897454,-1.0249852320321717,,,
Differentials Kurt Strat,Month,GDX_SLV,0.1390768451531645,-0.22489319088149884,-0.5875778218094302,0.13663069769288202,-0.0676806633071007,-0.4419507393828901,-0.22382655483074296,,,
Differentials Kurt Strat,Quarter,GLD_GDX,0.4340973512903879,0.819321070149829,,-0.15258899507952328,-0.36518162685034955,0.6563096589878052,1.9835928901017172,1.6674896319297274,,-0.8109389849221502
Differentials Kurt Strat,Quarter,GLD_SLV,-0.27058893460590216,-0.06937624154098528,0.48795502431071697,0.3331439924915543,,-0.9817782376919947,,,1.8135133114887287,-0.6287620953858617
Differentials Kurt Strat,Quarter,GDX_SLV,-0.19328794333185026,-0.6321836978140152,-0.43120117335396,-1.7230756751462202,0.10682961884557776,-0.5583710515936103,-0.5024537943919902,,,
Differentials Kurt Strat,Year,GLD_GDX,0.5294533517264386,,0.09919206265619528,,,,,,,
Differentials Kurt Strat,Year,GLD_SLV,-0.5229207567932374,,,,,,,,,
Differentials Kurt Strat,Year,GDX_SLV,,-1.3374628435495848,,,,,,,,
